Participant,screenStabilized_headConstrained
p01_incomplete,0.9721139935723347
p02,0.46953715343326735
p03,0.3744115927623296
p04,0.382515508901378
p05,2.7188455922717556
p06,0.7716014963179099
p07,0.8407194728668699
p08,0.8041759849434618
p09,0.6675055449765567
p10,0.6656846444760476
p11,0.6262582375373693
p12,1.4651512067712908
p13,1.942669745840041
p14_incomplete,1.0749225949484056
p15,0.6744624275998273
p16,0.6806323693268282
p17,1.0741473437665436
p18_repeat,0.5137776076666916
p19,0.5056802314417986
p20,0.41767286067700315
p21_incomplete,0.5033628644378246
p22,0.6040668485096847
p23,0.4472227626332606
p24_incomplete,0.4156643635437506
p25,0.9944496197079051
p26,0.39973267390328326
p27,0.5408105705030304
p28,0.9782074748516127
p29,0.39866899605040806
p30_incomplete,0.7407954470050834
p31,1.2690802392789329
p32,0.4277894351345576
p33,0.8462881432578728
