Participant,calibration
p03,2.845954486028245
p04,3.191910446156716
p05,11.054853511837646
p06_incomplete,3.378437510002641
p07,3.5285709114589547
p08,2.486393667901275
p09,2.845934231939225
p10,3.1076313409275884
p11,2.7313683119606127
p12,2.284832075871585
p13,2.6796913708708985
p14_incomplete,2.8659576731658367
p15,2.9427947748238292
p16,2.7961273729241674
p17,3.1090444687253416
p18_repeat,2.9613331181046654
p19,3.2239986786542376
p20,2.550201822086522
p21_incomplete,3.0840224237425224
p22,2.4625084294459967
p23,3.2422820159556305
p24_incomplete,2.8311958185384842
p25,2.8485724798573493
p26,2.485020439113556
p27,3.1099909778926724
p28,2.5886977881916904
p29,3.2658567582792966
p30_incomplete,2.9216901252153065
p31,2.839183855018817
p32,3.323095404251514
p33,3.0185353682256535
